Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 1,0.004909,0.173902,0.412438,0.213068,0.195684,0,0,0,0
Cell 2,0,0,0.000001,0.000293,0.003659,0.086105,0.652445,0.22778,0.029717
Cell 3,0,0,0.000065,0.008134,0.053826,0.409212,0.419765,0.081507,0.02749
Cell 4,0,0,0.000001,0.000726,0.008447,0.126937,0.36243,0.346022,0.155437
Cell 5,0.000003,0.004078,0.226771,0.475152,0.283467,0.010478,0.000051,0,0
Cell 6,0.184487,0.485209,0.306012,0.022848,0.001437,0.000008,0,0,0
Cell 7,0,0.001423,0.12059,0.471448,0.404715,0.001823,0,0,0
Cell 8,0,0.000002,0.00077,0.231835,0.679059,0.088335,0,0,0
Cell 9,0.003837,0.183517,0.645347,0.160486,0.006808,0.000004,0,0,0
Cell 10,0.103075,0.60129,0.260788,0.030798,0.004013,0.000036,0,0,0
Cell 11,0.002807,0.205632,0.600984,0.181524,0.009052,0.000001,0,0,0
Cell 12,0,0,0.000007,0.002321,0.023868,0.249845,0.450942,0.197308,0.07571
Cell 13,0.006924,0.177976,0.578043,0.215442,0.021611,0.000004,0,0,0
Cell 14,0,0.004003,0.136411,0.462878,0.394545,0.002162,0,0,0
Cell 15,0,0,0.000022,0.003445,0.032851,0.21422,0.396647,0.286896,0.065918
Cell 16,0,0.00104,0.031608,0.23376,0.405181,0.284039,0.043856,0.000514,0.000002
Cell 17,0,0.000001,0.000246,0.015708,0.058195,0.477119,0.365645,0.059589,0.023497
Cell 18,0,0,0.000006,0.00299,0.012382,0.136079,0.36193,0.348408,0.138204
Cell 19,0.850209,0.147379,0.00241,0.000002,0,0,0,0,0
Cell 20,0,0,0.000023,0.002711,0.037821,0.294738,0.491444,0.126763,0.046501
Cell 21,0,0,0,0.000315,0.005558,0.151421,0.490841,0.243224,0.10864
Cell 22,0.000056,0.022973,0.414266,0.460607,0.101633,0.000463,0,0,0
Cell 23,0,0,0.0002,0.038388,0.12131,0.840101,0,0,0
Cell 24,0.002853,0.122144,0.601208,0.240792,0.032998,0.000005,0,0,0
Cell 25,0.005863,0.171032,0.59619,0.204879,0.02199,0.000046,0,0,0
Cell 26,0.000005,0.004623,0.166522,0.434263,0.373511,0.021076,0,0,0
Cell 27,0,0,0.000006,0.001261,0.015478,0.157276,0.431157,0.280945,0.113876
Cell 28,0,0,0,0.00004,0.000797,0.02843,0.355652,0.518906,0.096176
Cell 29,0.001775,0.140288,0.658668,0.187319,0.011948,0.000001,0,0,0
Cell 30,0.069087,0.758002,0.053273,0.119586,0.000052,0,0,0,0
Cell 31,0,0,0.000002,0.00077,0.00955,0.146224,0.538256,0.20611,0.099088
Cell 32,0.01644,0.265257,0.549348,0.157095,0.011853,0.000007,0,0,0
Cell 33,0.003839,0.126913,0.48696,0.355095,0.027188,0.000004,0,0,0
Cell 34,0.000042,0.025731,0.271186,0.468356,0.21397,0.020674,0.000041,0,0
Cell 35,0.000048,0.022229,0.334626,0.538843,0.104181,0.000073,0,0,0
Cell 36,1,0,0,0,0,0,0,0,0
Cell 37,0,0.000586,0.041294,0.262964,0.452255,0.22392,0.018915,0.000065,0
Cell 38,0,0.002391,0.099179,0.541845,0.336569,0.020017,0,0,0
Cell 39,0.000041,0.017006,0.352305,0.490036,0.140293,0.000319,0,0,0
Cell 40,0.434898,0.447722,0.114012,0.003152,0.000216,0,0,0,0
Cell 41,0,0.000253,0.015505,0.121712,0.406681,0.360739,0.093025,0.002068,0.000016
Cell 42,0.138732,0.551356,0.299643,0.009892,0.000375,0.000001,0,0,0
Cell 43,0.690687,0.297151,0.012134,0.000028,0,0,0,0,0
Cell 44,0.00392,0.136677,0.439815,0.348503,0.071022,0.000063,0,0,0
Cell 45,0,0.000001,0.000998,0.283474,0.715527,0,0,0,0
Cell 46,0.000001,0.002625,0.101028,0.419633,0.373561,0.101836,0.001317,0,0
Cell 47,0,0,0.00001,0.002832,0.026856,0.206201,0.478369,0.203507,0.082225
Cell 48,0,0.001016,0.086745,0.512084,0.396424,0.003731,0,0,0
Cell 49,0,0,0.000006,0.002075,0.020586,0.156304,0.463918,0.260744,0.096367
Cell 50,0.003889,0.253167,0.622316,0.114208,0.006418,0.000003,0,0,0
Cell 51,0.998276,0,0.001673,0.000044,0.000006,0,0,0,0
Cell 52,0,0.000001,0.000722,0.015735,0.136218,0.406439,0.368132,0.072753,0
Cell 53,0,0.000001,0.000238,0.010448,0.093567,0.465542,0.369322,0.051075,0.009806
Cell 54,0,0,0.00002,0.002911,0.032326,0.289239,0.490357,0.135548,0.049599
Cell 55,0.001742,0.160093,0.58938,0.23765,0.011133,0.000001,0,0,0
Cell 56,0.000769,0.068034,0.497729,0.372376,0.061072,0.000019,0,0,0
Cell 57,0.002202,0.116449,0.547423,0.306498,0.027422,0.000007,0,0,0
Cell 58,0,0.000009,0.002258,0.059379,0.235081,0.455407,0.21543,0.03238,0.000055
Cell 59,0,0.579777,0.350262,0.063127,0.006466,0.000369,0,0,0
Cell 60,0.000022,0.015497,0.218731,0.444914,0.2934,0.027301,0.000135,0,0
Cell 61,0.000305,0.052826,0.522625,0.368881,0.055352,0.000011,0,0,0
Cell 62,0,0,0.000002,0.000719,0.010887,0.211997,0.525926,0.172843,0.077625
Cell 63,0.001441,0.09462,0.618087,0.257575,0.028238,0.000039,0,0,0
Cell 64,0.00534,0.155504,0.531202,0.262879,0.04506,0.000015,0,0,0
Cell 65,0.000066,0.015175,0.202548,0.375067,0.323884,0.082321,0.00094,0,0
Cell 66,0,0,0,0.000065,0.001013,0.033974,0.349815,0.51354,0.101592
Cell 67,0.000079,0.03711,0.479747,0.421524,0.061521,0.000019,0,0,0
Cell 68,0.002143,0.276654,0.496514,0.192283,0.032042,0.000364,0,0,0
Cell 69,0,0.001466,0.073526,0.522402,0.400286,0.002321,0,0,0
Cell 70,0,0,0.000002,0.001086,0.01495,0.188117,0.421446,0.253916,0.120482
Cell 71,0,0,0.000001,0.000521,0.006727,0.087784,0.353181,0.414058,0.137729
Cell 72,0,0.000001,0.000233,0.016575,0.084459,0.465279,0.356851,0.07151,0.005092
Cell 73,0.019158,0.335321,0.587679,0.050915,0.006263,0.000664,0,0,0
Cell 74,0,0,0.000461,0.02521,0.136976,0.300705,0.371965,0.163653,0.001029
Cell 75,0.003353,0.163134,0.500632,0.299416,0.033395,0.00007,0,0,0
Cell 76,0.004686,0.169427,0.525649,0.27488,0.025353,0.000005,0,0,0
Cell 77,0.936508,0.058456,0.003771,0.000932,0.000262,0.00007,0,0,0
Cell 78,0.063307,0.460502,0.413637,0.060209,0.002345,0,0,0,0
Cell 79,0.413505,0.487592,0.097494,0.001276,0.000118,0.000015,0,0,0
Cell 80,0.000006,0.011235,0.260835,0.426526,0.29701,0.004389,0,0,0
Cell 81,0.000108,0.044108,0.325596,0.425544,0.198554,0.006068,0.000023,0,0
Cell 82,0,0,0.00003,0.004756,0.04326,0.374654,0.400631,0.136992,0.039678
Cell 83,0,0.000005,0.001789,0.226343,0.707173,0.064691,0,0,0
Cell 84,0,0.000011,0.007151,0.306399,0.66099,0.025448,0,0,0
Cell 85,0,0,0.000004,0.001881,0.021027,0.32256,0.42104,0.133324,0.100163
Cell 86,0.013057,0.285159,0.617888,0.080646,0.003249,0.000001,0,0,0
Cell 87,0,0.000005,0.002392,0.264473,0.599591,0.133539,0,0,0
Cell 88,0.687268,0.280751,0.031486,0.00048,0.000015,0,0,0,0
Cell 89,0,0.000524,0.044318,0.50295,0.448636,0.003571,0,0,0
Cell 90,0,0,0.000529,0.150135,0.789767,0.059568,0,0,0
Cell 91,0,0.000965,0.052407,0.242126,0.541216,0.151338,0.011891,0.000057,0
Cell 92,0,0,0.000002,0.000697,0.009452,0.115994,0.42615,0.260717,0.186988
Cell 93,0,0,0.000302,0.177992,0.54767,0.274036,0,0,0
Cell 94,0,0,0,0.000032,0.000558,0.035226,0.476527,0.412158,0.075499
Cell 95,0.000017,0.027408,0.344679,0.420165,0.202117,0.005609,0.000005,0,0
