Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 1(s.e.m),Layer 2(s.e.m),Layer 3(s.e.m),Layer 4(s.e.m),Layer 5(s.e.m),Layer 6(s.e.m),Layer 7(s.e.m),Layer 8(s.e.m),Layer 9(s.e.m),p-values,q-values
0610007C21Rik;Apr3,9.40535E-05,0.000106525,9.55313E-05,9.25795E-05,8.81596E-05,8.43878E-05,8.65797E-05,8.10625E-05,8.37514E-05,1.41067E-05,7.72146E-06,5.72355E-06,4.91853E-06,4.46391E-06,5.68378E-06,5.67949E-06,6.05006E-06,6.92557E-06,0.003307081,0.014799943
0610007L01Rik,9.72818E-05,8.91596E-05,8.20314E-05,8.21003E-05,8.12253E-05,8.04153E-05,8.09476E-05,8.21342E-05,8.00281E-05,1.29661E-05,8.12512E-06,5.22907E-06,4.82249E-06,4.10781E-06,6.14563E-06,4.76207E-06,5.77222E-06,6.4559E-06,0.49331744,0.3795774
0610007P08Rik;Rad26l,8.70068E-07,3.04628E-06,3.72501E-06,6.73708E-06,5.05147E-06,6.11098E-06,5.60619E-06,5.6975E-06,5.4826E-06,4.75825E-07,8.80443E-07,7.96237E-07,2.22592E-06,1.44329E-06,1.88107E-06,1.26632E-06,2.2281E-06,2.00008E-06,0.86612689,0.45191541
0610007P14Rik,0.000116447,9.1879E-05,9.31607E-05,8.62162E-05,8.40908E-05,8.16884E-05,7.61486E-05,7.10786E-05,7.45299E-05,3.57509E-05,9.4838E-06,5.31558E-06,4.5305E-06,5.22519E-06,5.45936E-06,4.61853E-06,5.24912E-06,8.00667E-06,0.15965893,0.21185267
0610007P22Rik,1.29588E-06,3.2029E-06,3.02384E-06,2.88292E-06,3.79044E-06,1.43521E-06,9.68143E-07,1.31618E-06,1.89774E-06,1.0757E-06,1.73408E-06,1.02046E-06,6.63707E-07,1.02441E-06,4.37092E-07,4.36629E-07,6.91833E-07,1.0897E-06,0.1433484,0.19829954
0610008F07Rik,2.47114E-07,2.19267E-06,4.08824E-06,8.7493E-06,6.43494E-06,5.89387E-06,6.35186E-06,5.55736E-06,7.12797E-06,1.60265E-07,6.21219E-07,8.48678E-07,3.40202E-06,1.50522E-06,1.43481E-06,1.57735E-06,1.25906E-06,2.70372E-06,0.19146251,0.23409648
0610009B22Rik,2.76183E-05,3.34202E-05,3.40406E-05,2.9381E-05,0.000028,2.90428E-05,2.81083E-05,2.63681E-05,2.14609E-05,9.09474E-06,3.73722E-06,3.83383E-06,3.02103E-06,2.85709E-06,3.42762E-06,2.93175E-06,3.60084E-06,2.85392E-06,0.087454913,0.15005877
0610009D07Rik,2.72139E-05,2.1418E-05,2.15071E-05,1.99994E-05,1.90362E-05,1.96546E-05,2.07637E-05,2.26328E-05,2.32437E-05,8.75975E-06,3.19353E-06,2.26441E-06,2.03691E-06,2.59152E-06,3.03053E-06,2.90768E-06,4.52351E-06,7.41998E-06,0.2656887,0.27942693
0610009O20Rik,2.73412E-05,2.26634E-05,1.42979E-05,1.5211E-05,1.43294E-05,1.5558E-05,1.35011E-05,1.3357E-05,1.21079E-05,1.51963E-05,6.89781E-06,2.3089E-06,2.16744E-06,1.87212E-06,2.91267E-06,2.2607E-06,2.66163E-06,2.53535E-06,0.53097108,0.38637998
0610010B08Rik;Gm14434;Gm14308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
