Lobule layer,Gamma distribution parameters,Glul,Alb,Cyp2f2,Cyp2e1,Ass1,Asl
1,? ,1.6,1.86,0.025,2.06,1.54,2.26
1,k,0.0003,0.012,0.0003,0.008,0.0004,0.0003
2,? ,0.47,1.53,0.06,2.01,1.88,1.95
2,k,0.0003,0.018,0.0007,0.008,0.0009,0.0004
3,? ,0.44,1.23,0.18,1.77,2.92,1.72
3,k,0.0001,0.031,0.001,0.008,0.0008,0.0006
4,? ,0.36,1.006,0.43,1.13,4.09,2.71
4,k,0,0.063,0.002,0.011,0.0007,0.0005
5,? ,0.093,1.19,0.84,0.932,3.7,3.71
5,k,0.0001,0.065,2,0.01,0.0008,0.0005
6,? ,0.017,2.21,1.62,0.51,3.5,3.39
6,k,0,0.042,0.001,0.009,0.0008,0.0006
7,? ,0,2.62,3.17,0.223,5.49,3.862
7,k,0,0.033,0.001,0.009,0.0006,0.0006
8,? ,0,3.085,5.61,0.173,7.13,4.11
8,k,0,0.03,0.0009,0.005,0.0006,0.0007
9,? ,0,2.21,5.89,0.38,5.58,3.87
9,k,0,0.037,0.0009,0.0006,0.0007,0.0007
